CaseMasterID,CrimeNo,District,PoliceStationNo,CrimeRegisteredDate,Year,Month,Hour,TimeOfDay,CaseCategory,GravityOffence,CrimeHead,CrimeSubHead,CaseStatus,latitude,longitude
1657,700030003202401657,Mysuru,3,2024-05-03,2024,5,3,Night (12AM-6AM),Zero FIR,Non-Heinous,Public Order,Unlawful Assembly,Under Investigation,12.4035,76.56795
1658,100090001202501658,Tumakuru,1,2025-11-08,2025,11,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Cyber Crime,Phishing,Charge Sheeted,13.2715,77.14365
1659,100170003202401659,Kolar,3,2024-06-04,2024,6,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,13.16849,78.09888
1660,400110001202601660,Davanagere,1,2026-07-14,2026,7,0,Night (12AM-6AM),UDR,Heinous,Narcotics,NDPS Trafficking,Under Investigation,14.36309,76.04353
1661,100010001202401661,Bengaluru City,1,2024-06-09,2024,6,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,13.09646,77.57711
1662,100110002202401662,Davanagere,2,2024-10-17,2024,10,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Theft,Closed,14.37091,75.97665
1663,100020003202401663,Bengaluru Rural,3,2024-04-11,2024,4,2,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,13.19483,77.45193
1664,100060002202601664,Kalaburagi,2,2026-08-24,2026,8,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Narcotics,NDPS Possession,Closed,17.26726,76.83132
1665,100100004202401665,Shivamogga,4,2024-03-06,2024,3,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,13.89031,75.50046
1666,100050002202601666,Belagavi,2,2026-09-23,2026,9,3,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Identity Theft,Undetected,15.91466,74.48849
1667,700050004202201667,Belagavi,4,2022-01-25,2022,1,15,Afternoon (12PM-6PM),Zero FIR,Non-Heinous,Crimes Against Women,Molestation,Under Investigation,15.78481,74.47568
1668,100290002202401668,Gadag,2,2024-07-11,2024,7,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,15.47836,75.66839
1669,700050002202301669,Belagavi,2,2023-02-23,2023,2,17,Afternoon (12PM-6PM),Zero FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,15.91859,74.418
1670,100020001202301670,Bengaluru Rural,1,2023-06-16,2023,6,4,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Online Fraud,False Case,13.24573,77.50528
1671,400020001202601671,Bengaluru Rural,1,2026-08-09,2026,8,16,Afternoon (12PM-6PM),UDR,Non-Heinous,Crimes Against Women,Molestation,Closed,13.28564,77.54456
1672,100070003202601672,Hubballi-Dharwad,3,2026-12-17,2026,12,19,Evening (6PM-12AM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Under Investigation,15.31567,75.14601
1673,100040001202201673,Mangaluru (Dakshina Kannada),1,2022-11-12,2022,11,22,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,12.89562,75.03039
1674,100090001202301674,Tumakuru,1,2023-01-03,2023,1,23,Evening (6PM-12AM),PAR,Non-Heinous,Crimes Against Body,Murder,Closed,13.28993,77.17807
1675,100090002202401675,Tumakuru,2,2024-02-14,2024,2,5,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,13.48927,77.03804
1676,100010004202601676,Bengaluru City,4,2026-05-13,2026,5,15,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Closed,13.00693,77.5147
1677,100080003202501677,Ballari,3,2025-03-17,2025,3,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,15.19235,76.84707
1678,100240003202601678,Kodagu,3,2026-07-03,2026,7,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,12.3703,75.89142
1679,100010002202501679,Bengaluru City,2,2025-04-27,2025,4,9,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,12.98233,77.59785
1680,100240003202501680,Kodagu,3,2025-04-14,2025,4,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,12.36463,75.6728
1681,100050001202401681,Belagavi,1,2024-09-06,2024,9,4,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Cheating,False Case,15.8661,74.4902
1682,100240002202601682,Kodagu,2,2026-11-16,2026,11,4,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Forgery,Under Investigation,12.30034,75.78631
1683,100090002202601683,Tumakuru,2,2026-09-16,2026,9,4,Night (12AM-6AM),FIR,Heinous,Crimes Against Women,Molestation,Under Investigation,13.4385,77.09068
1684,100030002202401684,Mysuru,2,2024-11-22,2024,11,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Assault,Under Investigation,12.27767,76.61841
1685,100100003202301685,Shivamogga,3,2023-10-16,2023,10,22,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,13.93189,75.6515
1686,100060002202201686,Kalaburagi,2,2022-10-03,2022,10,19,Evening (6PM-12AM),PAR,Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,17.32829,76.85162
1687,100220004202501687,Yadgir,4,2025-04-02,2025,4,5,Night (12AM-6AM),FIR,Heinous,Crimes Against Women,Molestation,Closed,16.77981,77.17173
1688,100010002202401688,Bengaluru City,2,2024-11-27,2024,11,10,Morning (6AM-12PM),FIR,Non-Heinous,Public Order,Rioting,Charge Sheeted,12.97957,77.50637
1689,100020002202401689,Bengaluru Rural,2,2024-10-18,2024,10,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,False Case,13.37202,77.51413
1690,100070002202201690,Hubballi-Dharwad,2,2022-05-23,2022,5,0,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,15.46344,75.10401
1691,100160001202401691,Udupi,1,2024-05-16,2024,5,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,13.4527,74.69924
1692,100120004202501692,Vijayapura,4,2025-03-26,2025,3,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,16.75275,75.70236
1693,100060004202201693,Kalaburagi,4,2022-07-15,2022,7,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,17.31417,76.83281
1694,100250002202601694,Ramanagara,2,2026-11-06,2026,11,11,Morning (6AM-12PM),FIR,Heinous,Narcotics,NDPS Possession,Charge Sheeted,12.82364,77.25492
1695,100040001202501695,Mangaluru (Dakshina Kannada),1,2025-08-08,2025,8,9,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Sexual Assault,False Case,12.92713,74.79634
1696,100090002202501696,Tumakuru,2,2025-06-06,2025,6,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Murder,False Case,13.27781,77.17412
1697,100280003202301697,Haveri,3,2023-02-18,2023,2,23,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,14.87327,75.37629
1698,100300002202201698,Uttara Kannada,2,2022-06-02,2022,6,11,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Forgery,Charge Sheeted,14.71614,74.73003
1699,100110001202501699,Davanagere,1,2025-06-12,2025,6,23,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,14.4868,75.86642
1700,100300002202501700,Uttara Kannada,2,2025-05-08,2025,5,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,14.81524,74.68679
1701,100140001202301701,Bidar,1,2023-05-01,2023,5,6,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,17.81233,77.48312
1702,100080001202301702,Ballari,1,2023-05-18,2023,5,9,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Closed,15.29039,76.90209
1703,100110004202201703,Davanagere,4,2022-01-20,2022,1,21,Evening (6PM-12AM),PAR,Non-Heinous,Crimes Against Property,Theft,Undetected,14.42024,75.93744
1704,100160003202301704,Udupi,3,2023-06-08,2023,6,23,Evening (6PM-12AM),FIR,Non-Heinous,Public Order,Rioting,Undetected,13.37853,74.78238
1705,100250004202601705,Ramanagara,4,2026-03-16,2026,3,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Body,Murder,False Case,12.79467,77.24208
1706,700050001202401706,Belagavi,1,2024-10-08,2024,10,10,Morning (6AM-12PM),Zero FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,15.93252,74.53428
1707,100050002202601707,Belagavi,2,2026-02-18,2026,2,2,Night (12AM-6AM),PAR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Under Investigation,15.87449,74.53827
1708,100270003202201708,Bagalkot,3,2022-12-22,2022,12,6,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Charge Sheeted,16.20491,75.68636
1709,700030001202401709,Mysuru,1,2024-04-21,2024,4,13,Afternoon (12PM-6PM),Zero FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Closed,12.30186,76.66988
1710,100070002202401710,Hubballi-Dharwad,2,2024-02-04,2024,2,8,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Dowry Harassment,Closed,15.42297,74.98702
1711,700160002202401711,Udupi,2,2024-09-03,2024,9,9,Morning (6AM-12PM),Zero FIR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,13.36322,74.64172
1712,100010004202501712,Bengaluru City,4,2025-05-14,2025,5,9,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Domestic Violence,Undetected,12.94241,77.48612
1713,100250003202601713,Ramanagara,3,2026-07-20,2026,7,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,12.72021,77.27231
1714,100170001202301714,Kolar,1,2023-09-05,2023,9,9,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Murder,Charge Sheeted,13.14891,78.13165
1715,100010001202601715,Bengaluru City,1,2026-07-24,2026,7,12,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Women,Molestation,Under Investigation,13.02592,77.59116
1716,100010001202201716,Bengaluru City,1,2022-01-23,2022,1,23,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed,12.99047,77.66835
1717,100160002202301717,Udupi,2,2023-11-26,2023,11,4,Night (12AM-6AM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Under Investigation,13.21698,74.87174
1718,700110004202401718,Davanagere,4,2024-06-11,2024,6,11,Morning (6AM-12PM),Zero FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,14.56769,75.76729
1719,700100004202501719,Shivamogga,4,2025-01-03,2025,1,23,Evening (6PM-12AM),Zero FIR,Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,13.93219,75.61873
1720,100100003202301720,Shivamogga,3,2023-07-19,2023,7,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,14.02907,75.62514
1721,700050003202201721,Belagavi,3,2022-09-12,2022,9,11,Morning (6AM-12PM),Zero FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,False Case,15.81255,74.48986
1722,100050004202501722,Belagavi,4,2025-04-11,2025,4,22,Evening (6PM-12AM),FIR,Heinous,Crimes Against Body,Assault,Under Investigation,15.87889,74.474
1723,100080002202601723,Ballari,2,2026-08-24,2026,8,18,Evening (6PM-12AM),FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,15.21336,76.97114
1724,100100002202601724,Shivamogga,2,2026-12-22,2026,12,23,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Forgery,Undetected,13.92537,75.58507
1725,100040004202501725,Mangaluru (Dakshina Kannada),4,2025-08-27,2025,8,20,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,12.86339,74.81098
1726,100010003202301726,Bengaluru City,3,2023-06-27,2023,6,5,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Closed,13.06714,77.64905
1727,400020004202601727,Bengaluru Rural,4,2026-03-13,2026,3,17,Afternoon (12PM-6PM),UDR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,13.35442,77.59044
1728,100010002202201728,Bengaluru City,2,2022-02-21,2022,2,0,Night (12AM-6AM),FIR,Heinous,Narcotics,NDPS Possession,Undetected,12.99364,77.55303
1729,100240001202401729,Kodagu,1,2024-01-18,2024,1,2,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,12.40043,75.84419
1730,100050002202301730,Belagavi,2,2023-11-27,2023,11,4,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,15.89126,74.41154
1731,100020002202601731,Bengaluru Rural,2,2026-08-24,2026,8,11,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Domestic Violence,Under Investigation,13.35746,77.54522
1732,100030003202401732,Mysuru,3,2024-08-15,2024,8,8,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Forgery,Under Investigation,12.2741,76.61281
1733,100070004202301733,Hubballi-Dharwad,4,2023-08-17,2023,8,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,15.3988,75.07088
1734,100030004202401734,Mysuru,4,2024-02-19,2024,2,2,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,12.31862,76.65786
1735,100030004202601735,Mysuru,4,2026-09-20,2026,9,18,Evening (6PM-12AM),FIR,Non-Heinous,Narcotics,NDPS Possession,False Case,12.2183,76.57914
1736,100130003202501736,Raichur,3,2025-09-10,2025,9,4,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Phishing,Charge Sheeted,16.2034,77.26639
1737,100010001202301737,Bengaluru City,1,2023-02-04,2023,2,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Undetected,12.99838,77.72675
1738,100130003202301738,Raichur,3,2023-12-03,2023,12,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Under Investigation,16.29715,77.275
1739,100230001202601739,Chamarajanagar,1,2026-04-09,2026,4,9,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Cheating,Closed,11.97026,76.95042
1740,100140003202401740,Bidar,3,2024-05-19,2024,5,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Under Investigation,17.89698,77.6155
1741,100190002202301741,Hassan,2,2023-05-21,2023,5,1,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Phishing,Closed,13.09718,76.16002
1742,100200004202401742,Chitradurga,4,2024-06-25,2024,6,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Murder,Under Investigation,14.2348,76.46356
1743,100190003202401743,Hassan,3,2024-12-01,2024,12,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Under Investigation,12.9664,76.15051
1744,100070003202501744,Hubballi-Dharwad,3,2025-10-19,2025,10,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,15.33206,75.13209
1745,100140001202501745,Bidar,1,2025-05-24,2025,5,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Theft,False Case,17.83738,77.43549
1746,100010003202501746,Bengaluru City,3,2025-04-20,2025,4,9,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,13.03633,77.60532
1747,100040004202501747,Mangaluru (Dakshina Kannada),4,2025-04-06,2025,4,18,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Cheating,Undetected,12.96486,74.79727
1748,100020003202501748,Bengaluru Rural,3,2025-06-18,2025,6,23,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Under Investigation,13.20948,77.49137
1749,100070001202301749,Hubballi-Dharwad,1,2023-07-01,2023,7,8,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,15.3783,75.08358
1750,100060004202601750,Kalaburagi,4,2026-07-22,2026,7,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Undetected,17.26868,76.91114
1751,700050004202401751,Belagavi,4,2024-12-19,2024,12,2,Night (12AM-6AM),Zero FIR,Non-Heinous,Cyber Crime,Cyberstalking,Under Investigation,15.824,74.58182
1752,100010003202401752,Bengaluru City,3,2024-09-27,2024,9,2,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Phishing,Closed,13.03866,77.48867
1753,100210004202301753,Koppal,4,2023-04-20,2023,4,19,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,15.25753,76.21679
1754,100050004202401754,Belagavi,4,2024-04-01,2024,4,14,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Body,Attempt to Murder,False Case,15.83479,74.57828
1755,400190003202201755,Hassan,3,2022-09-19,2022,9,11,Morning (6AM-12PM),UDR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,12.99558,76.15054
1756,100190002202601756,Hassan,2,2026-11-01,2026,11,18,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,13.07695,76.15812
1757,100050001202501757,Belagavi,1,2025-11-24,2025,11,15,Afternoon (12PM-6PM),FIR,Non-Heinous,Narcotics,NDPS Possession,Closed,15.87222,74.38343
1758,100110004202301758,Davanagere,4,2023-07-04,2023,7,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Closed,14.43197,75.88391
1759,100270003202201759,Bagalkot,3,2022-09-08,2022,9,9,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,16.19004,75.67759
1760,100210001202501760,Koppal,1,2025-05-15,2025,5,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,15.30973,76.12128
1761,100010003202301761,Bengaluru City,3,2023-02-07,2023,2,2,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed,13.03827,77.57359
1762,100220002202301762,Yadgir,2,2023-04-04,2023,4,5,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,16.81331,77.0932
1763,100040004202401763,Mangaluru (Dakshina Kannada),4,2024-09-15,2024,9,8,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Domestic Violence,Under Investigation,12.86478,74.83059
1764,100050004202401764,Belagavi,4,2024-03-01,2024,3,2,Night (12AM-6AM),FIR,Heinous,Crimes Against Body,Assault,Closed,15.95208,74.44889
1765,100280003202201765,Haveri,3,2022-12-06,2022,12,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,14.68617,75.4026
1766,700210002202501766,Koppal,2,2025-03-17,2025,3,8,Morning (6AM-12PM),Zero FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,False Case,15.22751,76.11813
1767,100010001202601767,Bengaluru City,1,2026-02-12,2026,2,19,Evening (6PM-12AM),PAR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,12.8345,77.68808
1768,100090001202601768,Tumakuru,1,2026-03-23,2026,3,21,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed,13.35199,77.15613
1769,100250004202301769,Ramanagara,4,2023-08-19,2023,8,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,12.68328,77.23879
1770,100010004202201770,Bengaluru City,4,2022-07-27,2022,7,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,12.89016,77.59618
1771,700080002202601771,Ballari,2,2026-01-18,2026,1,3,Night (12AM-6AM),Zero FIR,Heinous,Crimes Against Women,Molestation,Closed,15.16856,76.98688
1772,100230003202401772,Chamarajanagar,3,2024-02-20,2024,2,22,Evening (6PM-12AM),FIR,Heinous,Narcotics,NDPS Possession,Charge Sheeted,11.99965,76.83557
1773,100270002202601773,Bagalkot,2,2026-07-12,2026,7,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,16.14704,75.69064
1774,700180001202401774,Mandya,1,2024-04-24,2024,4,23,Evening (6PM-12AM),Zero FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,12.51765,76.93309
1775,100230002202601775,Chamarajanagar,2,2026-01-20,2026,1,15,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Robbery,False Case,11.96563,76.9647
1776,100180001202501776,Mandya,1,2025-04-23,2025,4,7,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,12.51414,76.944
1777,100230002202301777,Chamarajanagar,2,2023-11-03,2023,11,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,11.88612,76.92787
1778,100020004202401778,Bengaluru Rural,4,2024-04-26,2024,4,9,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,13.35521,77.52006
1779,400040002202501779,Mangaluru (Dakshina Kannada),2,2025-10-06,2025,10,2,Night (12AM-6AM),UDR,Heinous,Crimes Against Women,Molestation,Closed,12.95135,74.89426
1780,100240003202401780,Kodagu,3,2024-06-03,2024,6,2,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,12.3303,75.8097
1781,100100002202601781,Shivamogga,2,2026-10-26,2026,10,5,Night (12AM-6AM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Closed,13.90602,75.50514
1782,400190003202301782,Hassan,3,2023-06-08,2023,6,19,Evening (6PM-12AM),UDR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,13.09473,76.02715
1783,100220002202601783,Yadgir,2,2026-02-04,2026,2,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,16.80664,77.1547
1784,400110003202401784,Davanagere,3,2024-05-18,2024,5,14,Afternoon (12PM-6PM),UDR,Non-Heinous,Crimes Against Property,Theft,Closed,14.46091,75.92322
1785,400020004202601785,Bengaluru Rural,4,2026-03-17,2026,3,9,Morning (6AM-12PM),UDR,Non-Heinous,Cyber Crime,Identity Theft,Charge Sheeted,13.37583,77.57166
1786,100230003202401786,Chamarajanagar,3,2024-05-24,2024,5,2,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,12.02197,76.94437
1787,100190002202501787,Hassan,2,2025-11-11,2025,11,6,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Grievous Hurt,Closed,13.05394,76.16664
1788,100210001202401788,Koppal,1,2024-07-03,2024,7,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Closed,15.27053,76.20491
1789,100050004202601789,Belagavi,4,2026-12-21,2026,12,4,Night (12AM-6AM),FIR,Heinous,Crimes Against Body,Assault,Charge Sheeted,15.87231,74.49707
1790,100280004202601790,Haveri,4,2026-11-21,2026,11,8,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Murder,Closed,14.83412,75.37729
1791,100230001202301791,Chamarajanagar,1,2023-04-13,2023,4,2,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,False Case,11.88851,76.86065
1792,100160004202501792,Udupi,4,2025-01-24,2025,1,12,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,13.26657,74.60659
1793,100240002202601793,Kodagu,2,2026-12-22,2026,12,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,12.25397,75.84618
1794,100210001202301794,Koppal,1,2023-11-17,2023,11,6,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,15.26578,76.10453
1795,100080004202401795,Ballari,4,2024-10-04,2024,10,11,Morning (6AM-12PM),FIR,Non-Heinous,Cyber Crime,Cyberstalking,Under Investigation,15.17332,76.88761
1796,400230004202501796,Chamarajanagar,4,2025-01-23,2025,1,14,Afternoon (12PM-6PM),UDR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,11.80058,76.88872
1797,100020004202501797,Bengaluru Rural,4,2025-02-06,2025,2,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,13.26235,77.69353
1798,100220004202401798,Yadgir,4,2024-01-07,2024,1,0,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Online Fraud,Undetected,16.74212,77.06177
1799,400030002202501799,Mysuru,2,2025-10-20,2025,10,13,Afternoon (12PM-6PM),UDR,Non-Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,12.2654,76.65235
1800,100130003202301800,Raichur,3,2023-11-20,2023,11,18,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,16.21864,77.39792
1801,100190002202601801,Hassan,2,2026-09-27,2026,9,2,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Assault,Charge Sheeted,13.0866,76.09555
1802,100110002202601802,Davanagere,2,2026-08-09,2026,8,17,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,14.42326,75.91649
1803,400220003202601803,Yadgir,3,2026-10-04,2026,10,17,Afternoon (12PM-6PM),UDR,Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,16.76626,77.13185
1804,100240001202401804,Kodagu,1,2024-08-06,2024,8,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,12.27078,75.7775
1805,100050003202501805,Belagavi,3,2025-12-23,2025,12,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Assault,Undetected,15.82813,74.58849
1806,700230004202201806,Chamarajanagar,4,2022-09-24,2022,9,17,Afternoon (12PM-6PM),Zero FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,11.86776,76.83851
1807,400050002202401807,Belagavi,2,2024-08-01,2024,8,3,Night (12AM-6AM),UDR,Non-Heinous,Narcotics,NDPS Possession,Charge Sheeted,15.83016,74.47649
1808,100050002202201808,Belagavi,2,2022-04-26,2022,4,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Closed,15.87821,74.47191
1809,100090002202401809,Tumakuru,2,2024-05-03,2024,5,4,Night (12AM-6AM),FIR,Heinous,Narcotics,NDPS Possession,Charge Sheeted,13.28321,77.19881
1810,700080002202201810,Ballari,2,2022-02-16,2022,2,22,Evening (6PM-12AM),Zero FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,15.09034,76.96542
1811,400160004202501811,Udupi,4,2025-06-06,2025,6,6,Morning (6AM-12PM),UDR,Non-Heinous,Crimes Against Body,Assault,Charge Sheeted,13.33585,74.81153
1812,100220001202301812,Yadgir,1,2023-11-23,2023,11,14,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Dowry Harassment,Under Investigation,16.71501,77.21858
